,time,open,high,low,close,date,symbol,rsi,candle_color,next_candle_color,next_candle_close,next_candle_open,pattern,next_candle_high,next_candle_low,candle_diff_pct
379,36900,17427.15,17431.65,17386.7,17389.45,220124,NIFTY,26.98,Red,Green,17412.3,17390.55,,17416.35,17382.35,0.505
380,37800,17390.55,17416.35,17382.35,17412.3,220124,NIFTY,33.23,Green,Red,17403.8,17411.5,,17412.7,17378.0,0.434
381,38700,17411.5,17412.7,17378.0,17403.8,220124,NIFTY,33.66,Red,Red,17390.6,17402.25,,17420.45,17367.35,0.284
382,39600,17402.25,17420.45,17367.35,17390.6,220124,NIFTY,30.13,Red,Red,17379.65,17388.95,,17393.55,17365.85,0.221
383,40500,17388.95,17393.55,17365.85,17379.65,220124,NIFTY,31.06,Red,Red,17355.75,17379.75,,17392.95,17350.35,0.306
384,41400,17379.75,17392.95,17350.35,17355.75,220124,NIFTY,31.05,Red,Red,17300.4,17354.9,,17354.9,17294.95,0.314
385,42300,17354.9,17354.9,17294.95,17300.4,220124,NIFTY,31.22,Red,Red,17285.25,17300.15,,17310.7,17280.9,0.249
386,43200,17300.15,17310.7,17280.9,17285.25,220124,NIFTY,31.66,Red,Red,17246.95,17284.95,,17292.7,17214.05,0.567
387,44100,17284.95,17292.7,17214.05,17246.95,220124,NIFTY,12.17,Red,Red,17219.1,17246.7,,17268.0,17216.85,0.428
388,45000,17246.7,17268.0,17216.85,17219.1,220124,NIFTY,4.79,Red,Green,17233.65,17218.5,,17241.45,17210.55,0.561
389,45900,17218.5,17241.45,17210.55,17233.65,220124,NIFTY,11.94,Green,Green,17252.45,17234.5,,17277.5,17220.9,0.457
390,46800,17234.5,17277.5,17220.9,17252.45,220124,NIFTY,17.01,Green,Red,17183.0,17253.9,,17256.6,17179.25,0.334
391,47700,17253.9,17256.6,17179.25,17183.0,220124,NIFTY,14.8,Red,Red,17167.35,17187.25,,17190.15,17151.6,0.389
392,48600,17187.25,17190.15,17151.6,17167.35,220124,NIFTY,15.07,Red,Red,17111.05,17168.6,Bearish Engulfing,17189.9,17109.65,0.572
